id,name,domain,industry,sub,country,region,city,size,revenue,founded,traffic,tech,signals,funding_round,funding_amount,funding_date,description,pains
co_34,Onyxgrove,onyxgrove.io,Professional Services,Accounting,Canada,Ontario,London,25,$5M–$10M,2011,775000,"[""Salesforce"",""DocuSign"",""Microsoft 365""]","[""New executive hire"",""Recently funded""]",,,,Onyxgrove is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_35,Harbourshift,harbourshift.com,Agency,Creative Studio,United States,Northeast,Boston,195,$50M–$100M,1986,413000,"[""Google Ads"",""Figma""]","[""Conference exhibitor"",""Job posts for AI roles""]",Series A,$250K,2026,"Harbourshift is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_36,Oakmere College of Applied Arts,oakmerecollegeofap.org,Higher Education,College,United States,West,San Francisco,2558,$100M+,1973,45000,"[""Zoom"",""Slate CRM""]","[""New executive hire""]",Seed,$3.5M,2022,"Oakmere College of Applied Arts delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_37,Mapleforge,mapleforge.ca,EdTech,Tutoring,Canada,British Columbia,Vancouver,1210,$100M+,1984,750000,"[""AWS"",""React""]","[""Partnership announced"",""Hiring sales leaders""]",Series B,$250K,2024,"Mapleforge builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_38,Cardinalbridge,cardinalbridge.co,Nonprofit,Foundation,United States,Northeast,New York,37,$10M–$25M,1976,514000,"[""Raiser's Edge"",""Salesforce NPSP"",""Mailchimp""]","[""Website relaunch""]",Grant,$250K,2026,"Cardinalbridge runs mission programs funded by grants, members and public partners.","[""grant-cycle dependence"",""capacity constraints"",""measuring program outcomes""]"
co_39,Northgate University,northgateuniversit.edu,Higher Education,Continuing Studies,United States,Northeast,Boston,818,$100M+,1998,273000,"[""Canvas LMS"",""Zoom"",""Banner"",""Slate CRM""]","[""Hiring sales leaders"",""Partnership announced""]",,,,"Northgate University delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_40,Meridiangate,meridiangate.com,Corporate Training,Compliance Training,United Kingdom,England,Manchester,1092,$100M+,2016,789000,"[""Docebo"",""LinkedIn Learning"",""Workday""]",[],,,,Meridiangate designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_41,Willowspan,willowspan.io,Corporate Training,Compliance Training,United States,Northeast,Philadelphia,534,$100M+,1990,629000,"[""Articulate"",""LinkedIn Learning"",""Workday""]","[""Conference exhibitor"",""Board expansion""]",Series A,$1.2M,2022,Willowspan designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_42,Ridgebridge,ridgebridge.io,Fintech,Lending,Canada,Ontario,London,1159,$100M+,1970,6000,"[""AWS"",""Snowflake""]",[],,,,Ridgebridge builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_43,Brookvale Institute,brookvaleinstitute.com,Higher Education,Continuing Studies,United States,Midwest,Chicago,3298,$100M+,2017,381000,"[""Banner"",""Canvas LMS"",""Slate CRM""]",[],,,,"Brookvale Institute delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_44,Kingsway University,kingswayuniversity.edu,Higher Education,Polytechnic,United States,Northeast,Boston,741,$100M+,1994,483000,"[""Canvas LMS"",""Qualtrics"",""Slate CRM""]","[""Hiring sales leaders"",""Board expansion""]",,,,"Kingsway University delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_45,Kingsway Institute,kingswayinstitute.ca,Higher Education,University,Canada,Ontario,London,619,$100M+,2013,406000,"[""Slate CRM"",""Qualtrics"",""Canvas LMS"",""Zoom""]","[""Launched new program"",""Published AI policy"",""Board expansion""]",,,,"Kingsway Institute delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_46,Driftspan,driftspan.io,EdTech,LMS,Canada,Ontario,Toronto,251,$50M–$100M,1970,212000,"[""Stripe"",""AWS"",""HubSpot"",""React""]","[""Recently funded"",""Job posts for AI roles"",""Conference exhibitor""]",,,,"Driftspan builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_47,Pinnacleforge,pinnacleforge.ca,Corporate Training,Compliance Training,Ireland,Leinster,Dublin,883,$100M+,1992,841000,"[""Workday"",""Articulate"",""LinkedIn Learning""]",[],Grant,$8M,2024,Pinnacleforge designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_48,Fernlabs,fernlabs.co,SaaS,Vertical SaaS,United States,Northeast,New York,24,$5M–$10M,2021,337000,"[""HubSpot"",""AWS""]",[],,,,Fernlabs sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_49,Westbourne College,westbournecollege.io,Higher Education,Continuing Studies,United States,Midwest,Detroit,3855,$100M+,2003,759000,"[""Zoom"",""Banner""]","[""Partnership announced"",""Recently funded""]",Seed,$15M,2024,"Westbourne College delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_50,Beacongate,beacongate.edu,Professional Services,Law,United Kingdom,Scotland,Glasgow,256,$100M+,1983,686000,"[""Microsoft 365"",""DocuSign"",""Power BI""]","[""Recently funded"",""Conference exhibitor""]",,,,Beacongate is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_51,Tamarackscope,tamarackscope.ca,Cybersecurity,Cloud Security,United States,Northeast,Boston,1035,$100M+,2017,133000,"[""CrowdStrike"",""Snowflake"",""AWS"",""Okta""]","[""Launched new program""]",Series C,$3.5M,2023,Tamarackscope sells security tooling to engineering and risk teams.,"[""buyer alert fatigue"",""crowded category"",""proving risk reduction""]"
co_52,Bellhaven Institute,bellhaveninstitute.ca,Higher Education,Polytechnic,United States,West,Los Angeles,323,$100M+,1992,208000,"[""Canvas LMS"",""Slate CRM"",""Banner"",""Qualtrics""]",[],Grant,$15M,2024,"Bellhaven Institute delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_53,Summitgate,summitgate.io,EdTech,Assessment,Canada,Ontario,Pickering,118,$25M–$50M,1980,10000,"[""Segment"",""HubSpot"",""AWS""]",[],,,,"Summitgate builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_54,Basinpath,basinpath.ca,EdTech,Student Success,Netherlands,Randstad,Rotterdam,386,$100M+,1987,333000,"[""React"",""AWS"",""HubSpot"",""Stripe""]","[""Launched new program""]",,,,"Basinpath builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_55,Elmloop,elmloop.io,SaaS,Vertical SaaS,United States,West,Los Angeles,54,$10M–$25M,2005,532000,"[""HubSpot"",""Segment""]","[""New executive hire"",""Job posts for AI roles"",""Partnership announced""]",,,,Elmloop sells a B2B software platform to mid-market operations teams.,"[""CAC creeping up"",""flat pipeline coverage"",""outbound not converting""]"
co_56,Driftscope,driftscope.edu,Corporate Training,Compliance Training,Canada,Ontario,Oshawa,103,$25M–$50M,1985,12000,"[""Docebo"",""Articulate"",""Workday""]",[],,,,Driftscope designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_57,Ridgepath,ridgepath.co,EdTech,Credentialing,United States,South,Atlanta,12,$3M–$5M,1972,749000,"[""React"",""Stripe"",""HubSpot""]",[],,,,"Ridgepath builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_58,Bellhaven University,bellhavenuniversit.co,Higher Education,College,Australia,NSW,Melbourne,490,$100M+,2013,357000,"[""Banner"",""Zoom"",""Qualtrics"",""Slate CRM""]","[""Expanding to new region"",""Job posts for AI roles"",""Hiring sales leaders""]",,,,"Bellhaven University delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_59,Yarrowstack,yarrowstack.org,Professional Services,Accounting,United States,Midwest,Minneapolis,67,$25M–$50M,1987,83000,"[""Power BI"",""Salesforce"",""DocuSign""]",[],,,,Yarrowstack is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_60,Havenmark,havenmark.org,Fintech,Lending,Canada,British Columbia,Victoria,105,$25M–$50M,2001,464000,"[""Plaid"",""Snowflake""]",[],,,,Havenmark builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_61,Driftgrove,driftgrove.com,Fintech,Treasury,United Kingdom,England,London,39,$10M–$25M,2003,554000,"[""Plaid"",""Salesforce"",""Stripe""]",[],,,,Driftgrove builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_62,Driftcore,driftcore.ca,Agency,Digital Consultancy,Canada,Ontario,Pickering,1319,$100M+,1995,793000,"[""Webflow"",""Slack"",""HubSpot""]","[""Launched new program"",""New campus/office"",""New executive hire""]",Grant,$40M,2023,"Driftcore is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_63,Crestlabs,crestlabs.co,Fintech,Treasury,Canada,Ontario,Oshawa,76,$25M–$50M,2020,806000,"[""AWS"",""Snowflake"",""Plaid""]","[""Published AI policy""]",Series A,$1.2M,2025,Crestlabs builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_64,Eastvale College,eastvalecollege.ca,Higher Education,Polytechnic,United States,Northeast,Philadelphia,300,$100M+,1988,238000,"[""Banner"",""Canvas LMS"",""Zoom""]","[""Board expansion""]",,,,"Eastvale College delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_65,Tamarackshift,tamarackshift.io,Agency,Creative Studio,United States,West,Portland,19,$5M–$10M,2004,810000,"[""Figma"",""HubSpot""]","[""Published AI policy"",""Website relaunch"",""Recently funded""]",Seed,$250K,2023,"Tamarackshift is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_66,Dunegate,dunegate.edu,Agency,Creative Studio,United States,Midwest,Chicago,334,$100M+,1991,403000,"[""Google Ads"",""Figma"",""Slack"",""Webflow""]",[],Series B,$1.2M,2023,"Dunegate is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_67,Stonebridge College of Applied Arts,stonebridgecollege.edu,Higher Education,College,Germany,Bavaria,Berlin,441,$100M+,1980,657000,"[""Banner"",""Zoom"",""Slate CRM""]",[],Grant,$250K,2026,"Stonebridge College of Applied Arts delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_68,Nimbusspan,nimbusspan.edu,Professional Services,Law,United States,Midwest,Detroit,85,$25M–$50M,1969,462000,"[""Microsoft 365"",""Power BI"",""Salesforce""]",[],,,,Nimbusspan is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_69,Northpeak,northpeak.com,Agency,Marketing Agency,United States,West,Portland,103,$25M–$50M,2009,155000,"[""HubSpot"",""Google Ads"",""Slack"",""Webflow""]",[],,,,"Northpeak is a client-services agency delivering brand, growth and digital work.","[""feast-or-famine pipeline"",""retainer churn"",""founder-led sales bottleneck""]"
co_70,Driftgate,driftgate.ca,EdTech,Assessment,United States,Midwest,Chicago,343,$100M+,2013,565000,"[""Stripe"",""AWS"",""React""]",[],,,,"Driftgate builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_71,Juniperforge,juniperforge.com,Nonprofit,Workforce Development,Canada,Ontario,Toronto,107,$25M–$50M,1988,480000,"[""Raiser's Edge"",""Mailchimp"",""Salesforce NPSP""]","[""Website relaunch""]",,,,"Juniperforge runs mission programs funded by grants, members and public partners.","[""grant-cycle dependence"",""capacity constraints"",""measuring program outcomes""]"
co_72,Highfield University,highfielduniversit.edu,Higher Education,College,Canada,Quebec,Montreal,3479,$100M+,1990,532000,"[""Canvas LMS"",""Banner"",""Zoom"",""Slate CRM""]",[],,,,"Highfield University delivers accredited programs and is modernizing curriculum, assessment and learner supports.","[""enrolment decline"",""AI academic-integrity policy gaps"",""faculty upskilling backlog"",""program approval timelines""]"
co_73,Juniperwave,juniperwave.co,Fintech,Payments,Canada,Ontario,Toronto,44,$10M–$25M,2000,86000,"[""Snowflake"",""Salesforce"",""Plaid""]",[],,,,Juniperwave builds regulated financial infrastructure for business customers.,"[""compliance overhead"",""long enterprise cycles"",""trust barrier with regulated buyers""]"
co_74,Meridianline,meridianline.ca,Professional Services,Accounting,United States,South,Atlanta,20,$5M–$10M,1973,810000,"[""Microsoft 365"",""Power BI"",""DocuSign"",""Salesforce""]","[""Recently funded"",""Job posts for AI roles"",""Launched new program""]",Series A,$3.5M,2024,Meridianline is an advisory firm serving mid-market and public-sector clients.,"[""partner time spent on origination"",""undifferentiated positioning"",""referral dependence""]"
co_75,Beaconscope,beaconscope.io,EdTech,Student Success,United States,Midwest,Chicago,43,$10M–$25M,2014,276000,"[""Segment"",""React"",""HubSpot""]","[""Board expansion"",""Recently funded"",""Conference exhibitor""]",Grant,$40M,2024,"Beaconscope builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_76,Larchgrove,larchgrove.edu,EdTech,Tutoring,United States,South,Atlanta,1039,$100M+,1971,136000,"[""Segment"",""Stripe"",""React""]","[""Partnership announced""]",,,,"Larchgrove builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_77,Duneworks,duneworks.com,EdTech,Tutoring,Canada,Alberta,Edmonton,51,$10M–$25M,2002,432000,"[""React"",""HubSpot"",""AWS""]",[],Series C,$8M,2022,"Duneworks builds learning software sold into schools, colleges and corporate training teams.","[""long institutional sales cycles"",""procurement friction"",""seat expansion stalls"",""differentiating against incumbents""]"
co_78,Fernpeak,fernpeak.ca,Corporate Training,L&D,United States,Northeast,Boston,111,$25M–$50M,1990,715000,"[""Workday"",""Articulate""]","[""New executive hire"",""Partnership announced""]",,,,Fernpeak designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
co_79,Willowlabs,willowlabs.edu,Corporate Training,Compliance Training,Canada,Ontario,Hamilton,711,$100M+,2000,13000,"[""Docebo"",""Articulate"",""Workday"",""LinkedIn Learning""]",[],,,,Willowlabs designs and delivers workforce learning programs for enterprise clients.,"[""proving training ROI"",""low course completion"",""AI-skills gap across staff""]"
